tempo,erro
364470, -0.00825857
364480, -0.00929131
364490, -0.00976356
364500, -0.0097894
364510, -0.0091983
364520, -0.00893586
364530, -0.00860058
364540, -0.00831478
364550, -0.00771019
364560, -0.00796541
364570, -0.00958244
364580, -0.010905
364590, -0.00873798
364600, -0.00748252
364610, -0.00928269
364620, -0.0118309
364630, -0.00907057
364640, -0.00856807
364650, -0.00883081
364660, -0.00963589
364670, -0.01102
364680, -0.0136222
364690, -0.011042
364700, -0.0100808
364710, -0.00921178
364720, -0.00923943
364730, -0.00925981
364740, -0.00973786
364750, -0.0104146
364760, -0.010457
364770, -0.0109271
364780, -0.0108341
364790, -0.0120717
364800, -0.0121848
364810, -0.0124265
364820, -0.0131211
364830, -0.0131827
364840, -0.0115379
364850, -0.0103987
364860, -0.00904125
364870, -0.00932184
364880, -0.0105302
364890, -0.0130978
364900, -0.0110776
364910, -0.0105548
364920, -0.0100079
364930, -0.00907562
364940, -0.00870533
364950, -0.00867099
364960, -0.00926126
364970, -0.0120545
364980, -0.0100095
364990, -0.00853807
365000, -0.00918617
365010, -0.0117921
365020, -0.0097077
365030, -0.00814338
365040, -0.00855701
365050, -0.00981486
365060, -0.0113083
365070, -0.0131484
365080, -0.0128207
365090, -0.0115354
365100, -0.00961091
365110, -0.00890393
365120, -0.00767295
365130, -0.0083962
365140, -0.00980043
365150, -0.0120416
365160, -0.0102369
365170, -0.0085481
365180, -0.0089828
365190, -0.0119702
365200, -0.0115861
365210, -0.00930498
365220, -0.00938038
365230, -0.0109338
365240, -0.0129556
365250, -0.0111
365260, -0.00963944
365270, -0.00876943
365280, -0.00835049
365290, -0.0096911
365300, -0.0132793
365310, -0.00973664
365320, -0.00830609
365330, -0.00913014
365340, -0.00951516
365350, -0.0115386
365360, -0.012038
365370, -0.0106978
365380, -0.00985532
365390, -0.0097245
365400, -0.0089658
365410, -0.00863545
365420, -0.00882199
365430, -0.00924241
365440, -0.0101179
365450, -0.0120216
365460, -0.0123937
365470, -0.01074
365480, -0.0101539
365490, -0.00972248
365500, -0.00994105
365510, -0.00996857
365520, -0.0103156
365530, -0.0113778
365540, -0.0136739
365550, -0.0114822
365560, -0.0110126
365570, -0.00961617
365580, -0.00930464
365590, -0.00952233
365600, -0.0096716
365610, -0.00988193
365620, -0.0101053
365630, -0.00987984
365640, -0.0102558
365650, -0.0105687
365660, -0.0106487
365670, -0.0108138
365680, -0.0107568
365690, -0.0111605
365700, -0.0107105
365710, -0.0112337
365720, -0.0120472
365730, -0.0130961
365740, -0.0152334
365750, -0.0126951
365760, -0.0108336
365770, -0.0102089
365780, -0.0104304
365790, -0.0126931
365800, -0.0113172
365810, -0.0104689
365820, -0.0122406
365830, -0.0122207
365840, -0.0101805
365850, -0.0103247
365860, -0.0125542
365870, -0.0123291
365880, -0.0106171
365890, -0.0128784
365900, -0.0132325
365910, -0.0106738
365920, -0.0109799
365930, -0.012643
365940, -0.0137445
365950, -0.0156204
365960, -0.0151666
365970, -0.01403
365980, -0.0134324
365990, -0.0133093
366000, -0.0123937
366010, -0.0112478
366020, -0.0112184
366030, -0.0117071
366040, -0.0120204
366050, -0.0125373
366060, -0.0123222
366070, -0.0123839
366080, -0.0130286
366090, -0.0141095
366100, -0.0145496
366110, -0.0147719
366120, -0.0146692
366130, -0.013824
366140, -0.0131143
366150, -0.0116721
366160, -0.0114168
366170, -0.0118307
366180, -0.0150772
366190, -0.0124852
366200, -0.0104636
366210, -0.0119251
366220, -0.0140967
366230, -0.0134677
366240, -0.0114142
366250, -0.0104643
366260, -0.0107744
366270, -0.0133041
366280, -0.0137452
366290, -0.011175
366300, -0.00997305
366310, -0.0111539
366320, -0.0137992
366330, -0.0113037
366340, -0.010647
366350, -0.0138861
366360, -0.0113196
366370, -0.00983989
366380, -0.00972271
366390, -0.0109732
366400, -0.0126648
366410, -0.0127221
366420, -0.0104506
366430, -0.00956389
366440, -0.0097376
366450, -0.0097401
366460, -0.00960825
366470, -0.00995845
366480, -0.0111266
366490, -0.0126432
366500, -0.0145862
366510, -0.0127773
366520, -0.0113248
366530, -0.00992702
366540, -0.00880448
366550, -0.00923411
366560, -0.0090061
366570, -0.00880737
366580, -0.00966623
366590, -0.0108219
366600, -0.0120981
366610, -0.0133688
366620, -0.0124098
366630, -0.0115848
366640, -0.0111491
366650, -0.0110421
366660, -0.0117682
366670, -0.012749
366680, -0.0108349
366690, -0.0103464
366700, -0.00977775
366710, -0.00953188
366720, -0.0101294
366730, -0.0110024
366740, -0.0122456
366750, -0.00993257
366760, -0.00868006
366770, -0.00913857
366780, -0.00910357
366790, -0.00902932
366800, -0.00899541
366810, -0.0083938
366820, -0.00746709
366830, -0.00719704
366840, -0.00785215
366850, -0.00842496
366860, -0.00888392
366870, -0.00918139
366880, -0.0103054
366890, -0.0113064
366900, -0.0104583
366910, -0.00966482
366920, -0.00800388
366930, -0.00725664
366940, -0.00765598
366950, -0.0106291
366960, -0.0102224
366970, -0.00836698
366980, -0.00825723
366990, -0.00919565
367000, -0.0116849
367010, -0.00899201
367020, -0.00856898
367030, -0.00896263
367040, -0.0104226
367050, -0.0130632
367060, -0.0118341
367070, -0.011329
367080, -0.0126037
367090, -0.0131142
367100, -0.0122728
367110, -0.0128041
367120, -0.0139385
367130, -0.012997
367140, -0.0129543
367150, -0.0132076
367160, -0.0130735
367170, -0.0128695
367180, -0.0123827
367190, -0.0104565
367200, -0.00943914
367210, -0.00892822
367220, -0.00942556
367230, -0.010308
367240, -0.0123865
367250, -0.0130512
367260, -0.0115204
367270, -0.010194
367280, -0.00928686
367290, -0.00975593
367300, -0.00933044
367310, -0.00977267
367320, -0.00955826
367330, -0.00846457
367340, -0.00808541
367350, -0.00770209
367360, -0.00824066
367370, -0.00817324
367380, -0.00945235
367390, -0.0111857
367400, -0.0126477
367410, -0.0111147
367420, -0.00949166
367430, -0.00858068
367440, -0.00810165
367450, -0.00826389
367460, -0.00859817
367470, -0.00885719
367480, -0.00851714
367490, -0.00879034
367500, -0.00848946
367510, -0.00941284
367520, -0.0101177
367530, -0.0116608
367540, -0.0102306
367550, -0.00868717
367560, -0.00847369
367570, -0.00856028
367580, -0.00852009
367590, -0.00870885
367600, -0.00894556
367610, -0.00958877
367620, -0.00943354
367630, -0.00942868
367640, -0.0104597
367650, -0.00981489
367660, -0.00980507
367670, -0.011046
367680, -0.0122377
367690, -0.0100996
367700, -0.00928537
367710, -0.00850147
367720, -0.00810532
367730, -0.00737475
367740, -0.00754852
367750, -0.00799025
367760, -0.00823595
367770, -0.00905907
367780, -0.00874042
367790, -0.00852619
367800, -0.00869615
367810, -0.00808814
367820, -0.00793483
367830, -0.00809243
367840, -0.00963575
367850, -0.0108919
